source_id,source,series,n_rows,n_points,n_bad_fit_rows,mjd_min,mjd_max,date_min,date_max,median_dt_days,flux_min,flux_max,median_flux_err,cwt_peak_period_days,cwt_peak_gws,wwz_peak_period_days,wwz_peak_power
mkn421,Mrk 421,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,1.009e-14,4.12671e-12,6.284e-14,367.3274243892357,3.6996554257639427,131.24999999999991,4.39798995199826
mkn501,Mrk 501,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,9.3611e-13,5.142e-14,462.8035541916657,6.448564368684648,436.06557377049177,8.065211639474068
1es1959p650,1ES 1959+650,wcda_strict_flux_weekly,229,228,1,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,1.8496e-12,1.3903000000000001e-13,308.88431439328815,5.585607026830926,309.3023255813952,5.031742986869274
1es1727p502,1ES 1727+502,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,6.4801e-13,5.509e-14,583.0959398922422,2.9256362114910592,505.06329113924045,3.3615157662170736
1es2344p514,1ES 2344+514,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,7.6611e-13,5.829e-14,583.0959398922422,8.040651712653608,600.0,7.838486084940444
bllac,BL Lacertae,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,2.2426e-13,4.292e-14,583.0959398922422,7.417682648363138,600.0,5.145083482995414
ngc1275,NGC 1275,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,4.695e-13,4.187e-14,436.8283866193031,7.593066552726897,505.06329113924045,8.232523499755263
m87,M 87,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,2.7013e-13,4.731e-14,367.3274243892357,1.3890267150304536,383.6538461538461,1.434365427721813
4c_p42d22,4C +42.22,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,3.8045e-13,3.995e-14,145.77398497306055,2.8998128187569527,149.71857410881793,1.835350737655092
ic310,IC 310,wcda_strict_flux_weekly,229,229,0,59284.5,60880.5,2021-03-08,2025-07-27,7.0,0.0,7.4429e-13,4.041e-14,583.0959398922422,11.077956577137964,600.0,10.923037450070339
